IdVenda,DataMovimentacao,NomeLocal,IdMercadoria,NomeMercadoria,Grupo,Receita,Custo,Qtde.
19119696,10/1/2024,LOJA B,99,Produto 271,Grupo 3,"R$ 6,99","R$ 3,78",3
19119696,10/1/2024,LOJA B,1923,Produto 272,Grupo 5,"R$ 1,17","R$ 0,65",1
19119696,10/1/2024,LOJA B,5129,Produto 273,Grupo 5,"R$ 1,17","R$ 0,65",1
19119696,10/1/2024,LOJA B,3456,Produto 274,Grupo 4,"R$ 16,00","R$ 15,74",4
19119707,10/1/2024,LOJA A,334,Produto 108,Grupo 5,"R$ 0,83","R$ 0,39",1
19119816,10/1/2024,LOJA A,1314,Produto 276,Grupo 5,"R$ 1,66","R$ 0,69",1
19119816,10/1/2024,LOJA A,137,Produto 93,Grupo 7,"R$ 2,50","R$ 1,33",1
19119816,10/1/2024,LOJA A,5756,Produto 278,Grupo 6,"R$ 2,00","R$ 1,05",1
19119816,10/1/2024,LOJA A,9718,Produto 178,Grupo 10,"R$ 1,00","R$ 0,36",1
19119834,10/1/2024,LOJA A,3113,Produto 280,Grupo 2,"R$ 5,67","R$ 3,67",2
19119834,10/1/2024,LOJA A,1317,Produto 281,Grupo 6,"R$ 3,17","R$ 2,02",1
19119851,10/1/2024,LOJA A,1886,Produto 282,Grupo 6,"R$ 4,33","R$ 2,81",1
19119865,10/1/2024,LOJA A,1817,Produto 106,Grupo 4,"R$ 10,67","R$ 7,67",1
19119899,10/1/2024,LOJA B,1955,Produto 183,Grupo 5,"R$ 0,83","R$ 0,39",1
19120094,10/1/2024,LOJA B,82,Produto 176,Grupo 5,"R$ 1,83","R$ 1,08",1
19120123,10/1/2024,LOJA B,3117,Produto 128,Grupo 4,"R$ 4,17","R$ 3,94",1
19120229,10/1/2024,LOJA A,115,Produto 4,Grupo 4,"R$ 7,33","R$ 6,93",2
19120334,10/1/2024,LOJA B,1249,Produto 288,Grupo 1,"R$ 2,00","R$ 1,41",1
19120334,10/1/2024,LOJA B,9420,Produto 222,Grupo 13,"R$ 4,67","R$ 2,38",2
